n, Time(ns)
0, 5290
10, 9521
20, 46193
30, 138226
40, 409388
50, 1221112
60, 1978533
70, 1500384
80, 272220
90, 203812
100, 248595
110, 304661
120, 392815
130, 454876
140, 561719
150, 683371
160, 725333
170, 1303625
180, 1518015
190, 996143
200, 1158346
210, 1342765
220, 1543404
230, 1764495
240, 2008505
250, 2266620
260, 2547657
270, 2855490
280, 3188008
290, 3537804
300, 3922509
310, 4329076
320, 4751511
330, 5283610
340, 5816767
350, 6242375
360, 6766011
370, 7367927
380, 7976896
390, 8592565
400, 9286163
410, 9997743
420, 10798536
430, 11590513
440, 12349697
450, 13222071
460, 14092329
470, 15048626
480, 16023963
490, 17028217
500, 18068788
510, 19184821
520, 20375254
530, 21554758
540, 22760707
550, 24348541
560, 25426843
570, 26779128
580, 28183954
590, 29768966
600, 31200942
610, 33968983
620, 35258856
630, 36474678
640, 38163360
650, 40241684
660, 41598905
670, 43483995
680, 45525998
690, 47502768
700, 49529962
710, 51653772
720, 56065714
730, 56153516
740, 58521337
750, 60870117
760, 63355361
770, 65869517
780, 68587488
790, 71234581
800, 74582325
810, 78012228
820, 79615930
830, 82493988
840, 85467605
850, 88576979
860, 91734311
870, 95004126
880, 98279583
890, 101638258
900, 105431709
910, 108685656
920, 114370897
930, 115972482
940, 119726087
950, 123573842
960, 127527028
970, 131566253
980, 136201048
990, 140251204
