n, Time(ns)
0, 6700
100, 3526
200, 2115
300, 3526
400, 4231
500, 8815
600, 7053
700, 7758
800, 9168
900, 10579
1000, 11637
1100, 12694
1200, 13752
1300, 14810
1400, 16220
1500, 16925
1600, 18336
1700, 19042
1800, 20452
1900, 21862
2000, 22920
2100, 23978
2200, 25036
2300, 26093
2400, 27857
2500, 28210
2600, 29620
2700, 30325
2800, 32088
2900, 52540
3000, 34556
3100, 34910
3200, 36319
3300, 37377
3400, 39140
3500, 39846
3600, 41256
3700, 41961
3800, 43371
3900, 44430
4000, 49014
4100, 46545
4200, 47603
4300, 48661
4400, 49719
4500, 51129
4600, 51834
4700, 53245
4800, 53951
4900, 55713
5000, 56771
5100, 57829
5200, 59239
5300, 60297
5400, 62061
5500, 62414
5600, 63471
5700, 79339
5800, 66292
5900, 66645
6000, 68408
6100, 52893
6200, 19394
6300, 22920
6400, 24331
6500, 22568
6600, 22215
6700, 23626
6800, 23272
6900, 25389
7000, 25036
7100, 26798
7200, 25389
7300, 23978
7400, 25741
7500, 25388
7600, 24331
7700, 24683
7800, 25741
7900, 26799
8000, 25741
8100, 24683
8200, 25388
8300, 26094
8400, 26799
8500, 26094
8600, 26094
8700, 25388
8800, 27152
8900, 29267
9000, 26094
9100, 25388
9200, 25389
9300, 26447
9400, 27504
9500, 26799
9600, 26799
9700, 26799
9800, 27504
9900, 26447
10000, 26094
10100, 25741
10200, 27857
10300, 27152
10400, 26446
10500, 27504
10600, 27504
10700, 27857
10800, 28914
10900, 27504
11000, 28209
11100, 26798
11200, 27504
11300, 27151
11400, 28209
11500, 27505
11600, 27151
11700, 27857
11800, 27152
11900, 27151
12000, 27857
12100, 27857
12200, 27856
12300, 27152
12400, 28915
12500, 41256
12600, 27857
12700, 27857
12800, 28915
12900, 25388
13000, 27504
13100, 26799
13200, 7758
13300, 5642
13400, 5289
13500, 5289
13600, 5290
13700, 5289
13800, 5642
13900, 5290
14000, 5290
14100, 5642
14200, 5289
14300, 5289
14400, 5642
14500, 5642
14600, 5290
14700, 5995
14800, 5290
14900, 5995
15000, 5642
15100, 5642
15200, 5642
15300, 5994
15400, 5994
15500, 5994
15600, 6347
15700, 5642
15800, 5995
15900, 5642
16000, 5994
16100, 5994
16200, 5994
16300, 6347
16400, 6699
16500, 6347
16600, 6700
16700, 5995
16800, 6347
16900, 6700
17000, 6347
17100, 7052
17200, 6700
17300, 6700
17400, 6347
17500, 7053
17600, 7053
17700, 6347
17800, 7052
17900, 6700
18000, 6700
18100, 7053
18200, 6700
18300, 7052
18400, 6699
18500, 7052
18600, 7052
18700, 7405
18800, 7405
18900, 7052
19000, 7052
19100, 7405
19200, 7405
19300, 7405
19400, 7405
19500, 7757
19600, 7757
19700, 7758
19800, 7758
19900, 7758
20000, 8110
20100, 7758
20200, 8110
20300, 7758
20400, 8110
20500, 7405
20600, 8110
20700, 7757
20800, 7758
20900, 8110
21000, 8463
21100, 7758
21200, 7757
21300, 8463
21400, 7758
21500, 8463
21600, 8110
21700, 8111
21800, 8463
21900, 8815
22000, 8463
22100, 8816
22200, 8463
22300, 8462
22400, 8815
22500, 8815
22600, 8816
22700, 8816
22800, 8463
22900, 9168
23000, 9168
23100, 8463
23200, 9168
23300, 9168
23400, 9168
23500, 10931
23600, 9521
23700, 8815
23800, 8815
23900, 9168
24000, 9520
24100, 9168
24200, 9520
24300, 9168
24400, 9521
24500, 9168
24600, 9168
24700, 9169
24800, 9521
24900, 9168
25000, 9168
25100, 9873
25200, 9520
25300, 9168
25400, 10225
25500, 10226
25600, 9874
25700, 10226
25800, 9873
25900, 10226
