n, Time(ns)
53300,15163
53400,15515
53500,15515
53600,17983
53700,15515
53800,15516
53900,15515
54000,15515
54100,15515
54200,15515
54300,15515
54400,15515
54500,15868
54600,16221
54700,15868
54800,15868
54900,15867
55000,15867
55100,16220
55200,15868
55300,15868
55400,15867
55500,16220
55600,16220
55700,16220
55800,16221
55900,16221
56000,16220
56100,16220
56200,16220
56300,16220
56400,16220
56500,16573
56600,16220
56700,16220
56800,16573
56900,16573
57000,16573
57100,16573
57200,16573
57300,16221
57400,16573
57500,16573
57600,16573
57700,16573
57800,16573
57900,16925
58000,16573
58100,22215
58200,16925
58300,16925
58400,16925
58500,16926
58600,16926
58700,16925
58800,16926
58900,16926
59000,16926
59100,16925
59200,17278
59300,16926
59400,17278
59500,16925
59600,17278
59700,17631
59800,17278
59900,17278
60000,17279
60100,17631
60200,17279
60300,17278
60400,17278
60500,17278
60600,17631
60700,17984
60800,17984
60900,21862
61000,17983
61100,17631
61200,17631
61300,17630
61400,17630
61500,17631
61600,17984
61700,17984
61800,18336
61900,17631
62000,17983
62100,17984
62200,18336
62300,18336
62400,18336
62500,17984
62600,18336
62700,18336
62800,17984
62900,18688
63000,18336
63100,18336
63200,18337
63300,18336
63400,18336
63500,18688
63600,18689
63700,18688
63800,18689
63900,18336
64000,19041
64100,18689
64200,18689
64300,18336
64400,18336
64500,18689
64600,18688
64700,21157
64800,18688
64900,19041
65000,18689
65100,19041
65200,19042
65300,19041
65400,19041
65500,19041
65600,21510
65700,19041
65800,19042
65900,19041
66000,19041
66100,19041
66200,19042
66300,19041
66400,19041
66500,19394
66600,19041
66700,19042
66800,19394
66900,19394
67000,21862
67100,19747
67200,19394
67300,19394
67400,19394
67500,19747
67600,19394
67700,19394
67800,19747
67900,19394
68000,19747
68100,19747
68200,19394
68300,19394
68400,19747
68500,19746
68600,19746
68700,19746
68800,19747
68900,20099
69000,19746
69100,20099
69200,20099
69300,20100
69400,19746
69500,20099
69600,20099
69700,20099
69800,20099
69900,20099
70000,20100
70100,20099
70200,27504
70300,20100
70400,20451
70500,20452
70600,20452
70700,20452
70800,20451
70900,20452
71000,20452
71100,20452
71200,20452
71300,20451
71400,20452
71500,20804
71600,20804
71700,20805
71800,20804
71900,20805
72000,20805
72100,20804
72200,20805
72300,20804
72400,20805
72500,21157
72600,20804
72700,21157
72800,21157
72900,21157
73000,21157
73100,20805
73200,21157
73300,21157
73400,21157
73500,21157
73600,21509
73700,21509
73800,21510
73900,21157
74000,21510
74100,21157
74200,21510
74300,21510
74400,21510
74500,21509
74600,25036
74700,21510
74800,21510
74900,21510
75000,21863
75100,21509
75200,21509
75300,21509
75400,21863
75500,21863
75600,21862
75700,21862
75800,21862
75900,21862
76000,21862
76100,21862
76200,21863
76300,21862
76400,22215
76500,21863
76600,21862
76700,22215
76800,22567
76900,23273
77000,22567
77100,22921
77200,25389
77300,22215
77400,22215
77500,22215
77600,22214
77700,22215
77800,22215
