n, Time(ns)
47100,20669338
47200,20936973
47300,20854813
47400,20928158
47500,21022659
47600,21079077
47700,21248687
47800,21250097
47900,21331199
48000,21459551
48100,21521259
48200,21661600
48300,25462457
48400,21914780
48500,21887628
48600,21980014
48700,22306890
48800,22181710
48900,22222261
49000,22333688
49100,22414790
49200,22575584
49300,22596740
49400,22663385
49500,22762117
49600,22850272
49700,23025170
49800,23021291
49900,23137654
50000,25289322
50100,25078810
50200,25420848
50300,23511076
50400,23597819
50500,23815736
50600,23829136
50700,23880618
50800,23939857
50900,24044585
51000,24134502
51100,24294943
51200,24329147
51300,24867240
51400,24527670
51500,24865829
51600,24879581
51700,24950105
51800,24936705
51900,25036849
52000,25084099
52100,25188827
52200,25294612
52300,25379240
52400,25783339
52500,28498487
52600,25719514
52700,25744550
52800,26056617
52900,26015008
53000,26039691
53100,26134192
53200,26471999
53300,26355282
53400,26504087
53500,26567911
53600,26727646
53700,26844362
53800,26833431
53900,26989640
54000,27448042
54100,27131744
54200,27215314
54300,27492472
54400,27509397
54500,27498114
54600,27627171
54700,27710036
54800,27891281
54900,27998124
55000,28017870
55100,28561958
55200,28287623
55300,28397991
55400,28509419
55500,28595809
55600,28759777
55700,28794333
55800,28869440
55900,29064790
56000,29045396
56100,30969978
56200,29279534
56300,29359930
56400,29643433
56500,29607820
56600,29663885
56700,29814101
56800,29842310
56900,29962552
57000,30053175
57100,30211500
57200,30277792
57300,30382166
57400,30530265
57500,30624414
57600,30663906
57700,30780271
57800,30976678
57900,31030276
58000,31094805
58100,31209053
58200,31341283
58300,31419212
58400,31991508
58500,31657581
58600,31742209
58700,31867388
58800,31998209
58900,32062738
59000,32147365
59100,32278186
59200,32417823
59300,34516598
59400,32768676
59500,32758450
59600,35090305
59700,33331805
59800,33184059
59900,33528919
60000,33627299
60100,33885766
60200,34327595
60300,36069170
60400,33716158
60500,33918559
60600,33912565
60700,34008477
60800,34253545
60900,34663992
61000,34432322
61100,34506725
61200,34558559
61300,34781061
61400,35291649
61500,34913292
61600,37230336
61700,48734811
61800,35537423
