n, Time(ns)
0,4936
100,2469
200,705
300,1058
400,1763
500,2115
600,5289
700,2821
800,3174
900,4232
1000,3879
1100,4936
1200,4937
1300,5642
1400,5995
1500,5995
1600,6700
1700,7404
1800,7758
1900,8110
2000,8463
2100,8816
2200,9168
2300,9874
2400,14105
2500,16926
2600,24684
2700,15868
2800,17984
2900,18688
3000,20804
3100,13399
3200,13400
3300,13752
3400,14458
3500,14458
3600,15162
3700,15868
3800,16221
3900,16221
4000,22567
4100,26094
4200,18336
4300,18336
4400,18689
4500,18689
4600,19042
4700,20099
4800,20099
4900,20452
5000,21157
5100,21157
5200,21862
5300,22215
5400,22920
5500,22921
5600,22920
5700,23978
5800,24683
5900,24684
6000,25389
6100,25741
6200,26094
6300,26446
6400,26799
6500,27151
6600,27504
6700,28209
6800,28209
6900,28914
7000,29620
7100,38788
7200,30325
7300,30677
7400,31383
7500,31735
7600,31735
7700,32441
7800,32794
7900,33146
8000,33499
8100,34204
8200,34557
8300,35262
8400,35262
8500,35614
8600,35967
8700,36319
8800,37024
8900,37024
9000,37377
9100,38435
9200,38435
9300,29268
9400,14810
9500,19041
9600,10579
9700,10579
9800,10225
9900,10226
10000,10578
10100,10226
10200,10226
10300,10226
10400,10226
10500,10226
10600,10579
10700,10225
10800,10226
10900,10226
11000,14457
11100,10579
11200,10579
11300,10579
11400,10225
11500,10579
11600,10579
11700,10579
11800,10579
11900,10578
12000,10226
12100,10226
12200,10226
12300,10226
12400,10579
12500,10579
12600,10579
12700,10579
12800,10579
12900,10579
13000,10579
13100,10579
13200,10579
13300,10579
13400,10578
13500,10579
13600,10578
13700,10578
13800,10578
13900,10579
14000,10579
14100,10931
14200,10931
14300,10578
14400,10579
14500,10579
14600,10578
14700,10578
14800,10579
14900,10579
15000,10931
15100,10931
15200,10931
15300,10931
15400,10931
15500,10931
15600,10931
15700,10932
15800,10931
15900,10931
16000,11284
16100,11283
16200,10931
16300,10931
16400,10931
16500,11284
16600,11284
16700,10931
16800,10931
16900,10932
17000,10931
17100,10931
17200,11283
17300,11284
17400,11284
17500,11284
17600,11284
17700,11283
17800,11283
17900,11284
18000,11284
18100,19394
18200,11989
18300,11284
18400,11284
18500,11284
18600,11284
18700,11284
18800,11636
18900,11636
19000,11636
19100,11636
19200,11636
19300,11636
19400,11636
19500,14105
19600,11637
19700,11284
19800,11636
19900,11636
20000,11989
20100,11636
20200,11636
20300,11636
20400,11989
20500,11989
20600,11637
20700,11636
20800,11989
20900,11989
21000,11989
21100,3526
21200,3174
21300,3174
21400,3174
21500,3174
21600,3173
21700,3174
21800,3174
21900,3527
22000,3174
22100,3174
22200,3174
22300,3174
22400,3174
22500,3174
22600,3174
22700,3526
22800,3526
22900,3173
23000,3173
23100,3526
23200,3526
23300,3526
23400,3526
23500,3526
23600,3526
23700,3526
23800,3526
23900,3526
24000,3526
24100,3526
24200,3879
24300,3526
24400,3526
24500,3526
24600,3526
24700,3526
24800,3526
24900,3526
25000,3879
25100,3527
25200,3526
25300,3526
25400,3526
25500,3526
25600,3878
25700,3879
25800,3878
25900,3879
26000,3879
26100,3878
26200,3879
26300,3526
26400,3878
26500,3879
26600,3879
26700,3879
26800,3879
26900,3879
27000,3879
27100,3878
27200,3878
27300,4231
27400,3879
27500,3879
27600,4232
27700,4232
27800,3879
27900,4232
28000,4232
28100,4232
28200,4232
28300,4232
28400,4232
28500,4231
28600,4231
28700,3879
28800,4232
28900,4232
29000,4232
29100,4232
29200,4231
29300,4232
29400,4232
29500,4231
29600,4231
29700,4231
29800,4231
29900,4584
30000,4584
30100,4232
30200,4231
30300,4584
30400,4584
30500,4584
30600,4584
30700,4584
30800,4584
30900,4584
31000,4584
31100,4584
31200,4231
31300,4584
31400,4937
31500,4584
31600,4584
31700,4584
31800,4584
31900,4584
32000,4937
32100,4584
32200,4584
32300,4584
32400,4936
32500,4584
32600,4584
32700,4584
32800,4937
32900,4937
33000,4937
33100,4936
33200,5289
33300,4936
33400,4937
33500,4937
33600,4936
33700,4936
33800,4584
33900,4936
34000,4937
34100,4936
34200,5289
34300,5289
34400,4937
34500,4937
34600,4936
34700,4937
34800,5289
34900,5289
35000,4937
35100,4937
35200,5289
35300,5289
35400,5289
35500,4936
35600,4937
35700,4937
35800,5289
35900,5289
36000,5289
36100,5289
36200,5289
36300,5289
36400,5289
36500,5289
36600,5642
36700,5289
36800,5289
36900,5289
37000,5290
37100,5289
37200,5289
37300,9874
37400,7053
37500,5642
37600,5642
37700,5290
37800,5289
37900,5642
38000,5995
38100,5642
38200,5642
38300,5642
38400,5642
38500,5642
38600,5642
38700,5642
38800,5642
38900,5642
39000,5642
39100,5994
39200,5642
39300,6347
39400,8815
39500,5994
39600,5642
39700,5642
39800,5994
39900,5994
40000,6347
40100,6347
40200,6347
40300,5995
40400,5995
40500,5995
40600,5995
40700,6347
40800,5995
40900,5995
41000,6347
41100,5995
41200,6347
41300,6347
41400,6348
41500,6347
41600,6347
41700,5994
41800,5994
41900,6347
42000,6347
42100,6347
42200,6348
42300,6347
42400,6347
42500,6347
42600,6347
42700,6347
42800,6347
42900,6348
43000,6347
43100,6347
43200,6347
43300,6348
43400,6347
43500,6700
43600,6347
43700,6347
43800,6347
43900,6699
44000,6347
44100,6699
44200,6700
44300,6347
44400,6347
44500,6700
44600,6347
44700,6700
44800,6699
44900,6700
45000,6347
45100,6347
45200,6347
45300,6700
45400,6347
45500,6699
45600,6700
45700,6700
45800,6700
45900,7052
46000,6700
46100,7405
46200,7053
46300,7053
46400,6700
46500,7053
46600,7053
46700,7405
46800,7052
46900,7052
47000,7053
47100,7052
47200,7405
47300,7053
47400,7053
47500,7053
47600,7405
47700,7052
47800,7052
47900,7053
48000,7052
48100,7405
48200,7053
48300,7758
48400,7053
48500,7052
48600,7405
48700,7052
48800,7052
48900,7404
49000,7405
49100,7405
49200,7405
49300,7405
49400,7405
49500,7052
49600,7405
49700,7405
49800,7405
49900,7405
50000,7405
50100,7405
50200,7405
50300,7757
50400,7405
50500,7405
50600,7405
50700,7405
50800,7758
50900,7758
51000,7405
51100,9873
51200,7758
51300,7404
51400,7405
51500,7758
51600,7405
51700,7405
51800,7758
51900,7758
52000,7757
52100,7757
52200,7758
52300,7758
52400,7758
52500,7757
52600,7758
52700,8111
52800,7758
52900,8110
53000,8111
53100,8110
53200,8110
53300,7757
53400,8110
53500,7758
53600,7757
53700,8110
53800,8110
53900,8110
54000,8111
54100,8463
54200,8110
54300,8462
54400,8110
54500,7757
54600,8110
54700,8111
54800,8110
54900,8111
55000,8110
55100,8463
55200,8111
55300,8110
55400,8462
55500,8463
55600,8463
55700,8110
55800,8111
55900,8110
56000,8462
56100,8110
56200,8111
56300,8463
56400,8110
56500,8110
56600,8463
56700,8815
56800,8816
56900,8463
57000,8815
57100,8462
57200,8463
57300,8463
57400,8462
57500,8463
57600,8463
57700,8463
57800,8463
57900,8815
58000,8815
58100,8815
58200,8815
58300,8816
58400,8816
58500,8816
58600,9168
58700,8815
58800,9168
58900,8815
59000,9168
59100,8816
59200,9168
59300,8815
59400,9168
59500,8816
59600,8816
59700,9168
59800,9168
59900,9168
60000,9168
60100,9168
60200,9168
60300,9168
60400,9168
60500,8815
60600,8815
60700,9168
60800,9168
60900,9873
61000,10932
61100,9520
61200,9168
61300,9873
61400,9168
61500,9521
61600,9521
61700,9168
61800,9168
61900,9168
62000,9520
62100,14105
62200,9873
62300,9521
62400,11636
62500,9521
62600,9520
62700,9168
62800,9520
62900,9168
63000,9521
63100,9521
63200,9874
63300,9874
63400,9168
63500,9168
63600,9168
63700,9520
63800,9520
63900,9521
64000,9521
64100,9520
64200,9521
64300,9521
64400,9521
64500,9521
64600,9520
64700,9873
64800,9521
64900,9168
65000,9874
65100,9521
65200,9521
65300,9520
65400,9521
65500,9521
65600,9521
65700,9521
65800,9521
65900,9873
66000,9520
66100,9520
66200,9873
66300,9873
66400,9521
66500,9521
66600,10226
66700,9873
66800,9873
66900,10225
67000,9873
67100,9873
67200,9874
67300,9873
67400,9873
67500,9874
67600,9873
67700,10226
67800,9873
67900,9874
68000,9873
68100,9874
68200,10226
68300,10226
68400,10226
68500,9873
68600,10226
68700,10226
68800,10226
68900,10226
69000,10226
69100,10579
69200,12341
69300,10578
69400,10226
69500,10226
69600,10579
69700,10226
69800,10225
69900,10226
70000,10578
70100,10578
70200,10579
70300,10579
70400,10579
70500,10226
70600,10579
70700,10578
70800,10578
70900,10578
71000,10579
71100,10578
71200,10579
71300,11284
71400,11284
71500,11283
71600,10931
71700,10931
71800,10931
71900,10931
72000,10578
72100,10931
72200,10931
72300,10579
72400,10579
72500,10578
72600,10931
72700,10931
72800,10931
72900,10578
73000,10931
73100,10932
73200,10931
73300,11284
73400,10931
73500,10931
73600,10931
73700,11284
73800,10931
73900,10931
74000,10931
74100,11284
74200,11284
74300,10931
74400,11284
74500,11636
74600,11284
74700,11284
74800,11284
74900,11283
75000,11284
75100,11284
75200,11284
75300,11284
75400,11284
75500,11284
75600,12694
75700,11637
75800,11284
75900,11636
76000,11284
76100,11284
76200,11284
76300,11284
76400,11636
76500,11637
76600,11283
76700,11283
76800,11636
